id                                                                  ,f2                ,prauc             ,precision          ,recall            ,f                 ,rocauc            ,sens              ,spec               ,brier              ,true_positives,false_negatives,false_positives,true_negatives
aggregation:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::CV_TRUE/sample1 ,0.7090643274853802,0.5901405791628965,0.4110169491525424 ,0.8660714285714286,0.5574712643678161,0.7985567514677103,0.8660714285714286,0.523972602739726  ,0.21028947200724543,97            ,15             ,139            ,153
aggregation:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::CV_TRUE/sample2 ,0.7387140902872777,0.5205089001132133,0.38162544169611307,0.9642857142857143,0.5468354430379747,0.7810665362035225,0.9642857142857143,0.4006849315068493 ,0.2315156925749926 ,108           ,4              ,175            ,117
aggregation:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::CV_TRUE/sample3 ,0.6944444444444443,0.5854222491973979,0.4025423728813559 ,0.8482142857142857,0.5459770114942528,0.7835432974559686,0.8482142857142857,0.5171232876712328 ,0.21236156825796096,95            ,17             ,141            ,151
aggregation:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::CV_TRUE/sample4 ,0.7198748043818467,0.5895590501073021,0.4816753926701571 ,0.8214285714285714,0.6072607260726073,0.820511252446184 ,0.8214285714285714,0.660958904109589  ,0.1781775351540303 ,92            ,20             ,99             ,193
aggregation:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::CV_TRUE/sample5 ,0.7174556213017753,0.5780592488867872,0.42543859649122806,0.8660714285714286,0.5705882352941177,0.8098091976516634,0.8660714285714286,0.5513698630136986 ,0.20091779184687822,97            ,15             ,131            ,161
aggregation:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::CV_TRUE/sample6 ,0.7467057101024891,0.5921637203318217,0.4340425531914894 ,0.9107142857142857,0.5878962536023055,0.8319777397260274,0.9107142857142857,0.5445205479452054 ,0.1993958512900831 ,102           ,10             ,133            ,159
aggregation:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::CV_TRUE/sample7 ,0.6940298507462687,0.5840830515435714,0.4189189189189189 ,0.8303571428571429,0.5568862275449102,0.8000550391389433,0.8303571428571429,0.5582191780821918 ,0.20227322590464608,93            ,19             ,129            ,163
aggregation:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::CV_TRUE/sample8 ,0.7528409090909092,0.6471950290822006,0.4140625          ,0.9464285714285714,0.5760869565217391,0.832833904109589 ,0.9464285714285714,0.4863013698630137 ,0.20331927605806058,106           ,6              ,150            ,142
aggregation:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::CV_TRUE/sample9 ,0.7507082152974505,0.6425127081264536,0.4108527131782946 ,0.9464285714285714,0.572972972972973 ,0.8462573385518591,0.9464285714285714,0.4794520547945205 ,0.2029774170251945 ,106           ,6              ,152            ,140
aggregation:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::CV_TRUE/sample10,0.7391304347826086,0.6047255340568835,0.4214876033057851 ,0.9107142857142857,0.5762711864406779,0.8125920471281296,0.9107142857142857,0.5189003436426117 ,0.20832423063852823,102           ,10             ,140            ,151
