id                                                             ,f2                ,prauc               ,precision          ,recall            ,f                 ,rocauc            ,sens              ,spec              ,brier              ,true_positives,false_negatives,false_positives,true_negatives
glmnet:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample1 ,0.5313588850174216,0.18127169243463537 ,0.48412698412698413,0.5446428571428571,0.5126050420168068,0.7114726027397261,0.5446428571428571,0.7773972602739726,0.21614015144863377,61            ,51             ,65             ,227
glmnet:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample2 ,0.6687402799377917,0.5013151342151528  ,0.441025641025641  ,0.7678571428571429,0.5602605863192182,0.7672150195694716,0.7678571428571429,0.6267123287671232,0.1990285910428412 ,86            ,26             ,109            ,183
glmnet:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample3 ,0.6077795786061588,0.5247813810044606  ,0.4437869822485207 ,0.6696428571428571,0.5338078291814947,0.7562989236790607,0.6696428571428571,0.678082191780822 ,0.19645358455979853,75            ,37             ,94             ,198
glmnet:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample4 ,0.535405872193437 ,0.5058195747568824  ,0.4732824427480916 ,0.5535714285714286,0.5102880658436214,0.7509173189823874,0.5535714285714286,0.7636986301369864,0.19283570161646219,62            ,50             ,69             ,223
glmnet:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample5 ,0.6836248012718602,0.5342365764805008  ,0.47513812154696133,0.7678571428571429,0.5870307167235496,0.786692759295499 ,0.7678571428571429,0.6746575342465754,0.1923399268026785 ,86            ,26             ,95             ,197
glmnet:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample6 ,0.7511045655375553,0.42859997477952844 ,0.44155844155844154,0.9107142857142857,0.5947521865889213,0.8081886007827789,0.9107142857142857,0.5582191780821918,0.19321012543135446,102           ,10             ,129            ,163
glmnet:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample7 ,0.7022900763358779,0.4261890720910552  ,0.4444444444444444 ,0.8214285714285714,0.5768025078369906,0.7861423679060665,0.8214285714285714,0.6061643835616438,0.1883832427945073 ,92            ,20             ,115            ,177
glmnet:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample8 ,0.7076205287713841,0.47476904787230906 ,0.4666666666666667 ,0.8125            ,0.5928338762214983,0.8170254403131115,0.8125            ,0.6438356164383562,0.18254044621087515,91            ,21             ,104            ,188
glmnet:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample9 ,0.7413249211356466,0.6053413655075429  ,0.5053763440860215 ,0.8392857142857143,0.6308724832214765,0.8232326320939335,0.8392857142857143,0.684931506849315 ,0.17852390142183563,94            ,18             ,92             ,200
glmnet:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample10,0.6714060031595577,0.5539619868119883  ,0.4594594594594595 ,0.7589285714285714,0.5723905723905724,0.7823699067255768,0.7589285714285714,0.6563573883161512,0.19339329317716533,85            ,27             ,100            ,191
glmnet:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample11,0.6645056726094003,0.4982121168537642  ,0.48520710059171596,0.7321428571428571,0.5836298932384342,0.7853626467710372,0.7321428571428571,0.702054794520548 ,0.18507433672770993,82            ,30             ,87             ,205
glmnet:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample12,0.6186440677966102,0.5089795063330582  ,0.5140845070422535 ,0.6517857142857143,0.5748031496062992,0.7818309686888454,0.6517857142857143,0.7636986301369864,0.19279102482436694,73            ,39             ,69             ,223
glmnet:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample13,0.6518282988871225,0.36035626382977565 ,0.4530386740331492 ,0.7321428571428571,0.5597269624573378,0.7586839530332681,0.7321428571428571,0.660958904109589 ,0.20245909318815183,82            ,30             ,99             ,193
glmnet:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample14,0.6687898089171974,0.6307812430841918  ,0.4666666666666667 ,0.75              ,0.5753424657534245,0.8099009295499021,0.75              ,0.6712328767123288,0.17650711026006316,84            ,28             ,96             ,196
glmnet:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample15,0.6709265175718849,0.5790775533912952  ,0.47191011235955055,0.75              ,0.5793103448275861,0.8025318003913894,0.75              ,0.678082191780822 ,0.185101809582465  ,84            ,28             ,94             ,198
glmnet:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample16,0.5089285714285714,0.21304342865559192 ,0.5089285714285714 ,0.5089285714285714,0.5089285714285714,0.7421263454011742,0.5089285714285714,0.8116438356164384,0.2052891758580205 ,57            ,55             ,55             ,237
glmnet:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample17,0.703001579778831 ,0.5358200248255431  ,0.4810810810810811 ,0.7946428571428571,0.5993265993265993,0.7991377201565557,0.7946428571428571,0.6712328767123288,0.18501443351297228,89            ,23             ,96             ,196
glmnet:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample18,0.7392473118279569,0.005793297717802684,0.3716216216216216 ,0.9821428571428571,0.5392156862745098,0.672578277886497 ,0.9821428571428571,0.363013698630137 ,0.2207395025675509 ,110           ,2              ,186            ,106
