id                                                                  ,f2                ,prauc             ,precision          ,recall            ,f                 ,rocauc            ,sens              ,spec              ,brier              ,true_positives,false_negatives,false_positives,true_negatives
naive_bayes:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample1 ,0.7070707070707071,0.5791621499785151,0.4                ,0.875             ,0.5490196078431373,0.7843230185909981,0.875             ,0.4965753424657534,0.33994551409682816,98            ,14             ,147            ,145
naive_bayes:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample2 ,0.7345013477088949,0.5201407782015528,0.3707482993197279 ,0.9732142857142857,0.5369458128078818,0.7707161203522505,0.9732142857142857,0.3664383561643836,0.44045530016395346,109           ,3              ,185            ,107
naive_bayes:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample3 ,0.698005698005698 ,0.512942761548848 ,0.3858267716535433 ,0.875             ,0.53551912568306  ,0.7686521526418787,0.875             ,0.4657534246575342,0.3539118380216089 ,98            ,14             ,156            ,136
naive_bayes:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample4 ,0.7438650306748468,0.5710920083069545,0.47549019607843135,0.8660714285714286,0.6139240506329114,0.8110934442270059,0.8660714285714286,0.6335616438356164,0.26756343656285214,97            ,15             ,107            ,185
naive_bayes:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample5 ,0.7348703170028819,0.5381401043259514,0.4146341463414634 ,0.9107142857142857,0.5698324022346368,0.796508072407045 ,0.9107142857142857,0.5068493150684932,0.31933587497548127,102           ,10             ,144            ,148
naive_bayes:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample6 ,0.7420749279538905,0.5551522965148037,0.4186991869918699 ,0.9196428571428571,0.5754189944134079,0.8122095156555773,0.9196428571428571,0.5102739726027398,0.3181816468814412 ,103           ,9              ,143            ,149
naive_bayes:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample7 ,0.6964809384164222,0.5763075140485091,0.405982905982906  ,0.8482142857142857,0.5491329479768786,0.7866163160469667,0.8482142857142857,0.523972602739726 ,0.3275428718684236 ,95            ,17             ,139            ,153
naive_bayes:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample8 ,0.7563025210084032,0.5515672530608636,0.40601503759398494,0.9642857142857143,0.5714285714285714,0.8141205968688845,0.9642857142857143,0.4589041095890411,0.36820602466416463,108           ,4              ,158            ,134
naive_bayes:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample9 ,0.7579972183588317,0.6197613753852663,0.4022140221402214 ,0.9732142857142857,0.5691906005221932,0.8298984833659491,0.9732142857142857,0.4452054794520548,0.36944576383040667,109           ,3              ,162            ,130
naive_bayes:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample10,0.7404795486600846,0.5808459123758649,0.40229885057471265,0.9375            ,0.5630026809651474,0.8096005154639175,0.9375            ,0.4639175257731959,0.35304675997378665,105           ,7              ,156            ,135
