id                                                             ,f2                ,prauc              ,precision          ,recall            ,f                 ,rocauc             ,sens              ,spec              ,brier              ,true_positives,false_negatives,false_positives,true_negatives
ranger:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample1 ,0.6163194444444444,0.6340674836923756 ,0.5546875          ,0.6339285714285714,0.5916666666666667,0.8193187377690803 ,0.6339285714285714,0.8047945205479452,0.1648540618729138 ,71            ,41             ,57             ,235
ranger:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample2 ,0.5689655172413793,0.49457509027831836,0.5                ,0.5892857142857143,0.540983606557377 ,0.776174168297456  ,0.5892857142857143,0.773972602739726 ,0.17318118426674733,66            ,46             ,66             ,226
ranger:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample3 ,0.5729166666666666,0.5983021860271635 ,0.515625           ,0.5892857142857143,0.5499999999999999,0.8005748532289628 ,0.5892857142857143,0.7876712328767124,0.16889208197146868,66            ,46             ,62             ,230
ranger:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample4 ,0.5475763016157988,0.5986682996998625 ,0.5596330275229358 ,0.5446428571428571,0.5520361990950226,0.8263209393346379 ,0.5446428571428571,0.8356164383561644,0.15481265462382862,61            ,51             ,48             ,244
ranger:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample5 ,0.5892547660311959,0.5618758090223412 ,0.5271317829457365 ,0.6071428571428571,0.5643153526970954,0.806323385518591  ,0.6071428571428571,0.791095890410959 ,0.1672044343319395 ,68            ,44             ,61             ,231
ranger:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample6 ,0.6864406779661016,0.6065627664156527 ,0.5704225352112676 ,0.7232142857142857,0.6377952755905512,0.8316108121330724 ,0.7232142857142857,0.791095890410959 ,0.1622585672105074 ,81            ,31             ,61             ,231
ranger:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample7 ,0.6379310344827586,0.6088134634537791 ,0.5606060606060606 ,0.6607142857142857,0.6065573770491803,0.8145792563600782 ,0.6607142857142857,0.8013698630136986,0.1623924309777306 ,74            ,38             ,58             ,234
ranger:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample8 ,0.6206896551724138,0.620788219498182  ,0.5454545454545454 ,0.6428571428571429,0.5901639344262296,0.8274828767123288 ,0.6428571428571429,0.7945205479452054,0.15649514207331208,72            ,40             ,60             ,232
ranger:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample9 ,0.681818181818182 ,0.6361295583179114 ,0.5547945205479452 ,0.7232142857142857,0.6279069767441859,0.8428938356164384 ,0.7232142857142857,0.7773972602739726,0.15591143564356436,81            ,31             ,65             ,227
ranger:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample10,0.5913043478260869,0.5936511551491996 ,0.5354330708661418 ,0.6071428571428571,0.5690376569037657,0.79712812960235635,0.6071428571428571,0.7972508591065293,0.16768218304423008,68            ,44             ,59             ,232
ranger:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample11,0.5683836589698046,0.61806690452697155,0.5565217391304348 ,0.5714285714285714,0.5638766519823788,0.8172394814090019 ,0.5714285714285714,0.8253424657534246,0.16002405579635617,64            ,48             ,51             ,241
ranger:::MODE_PRESENCE:::LABEL_H:::SYMP_TRUE:::cv_TRUE/sample12,0.6569965870307167,0.6105929228346121 ,0.5579710144927537 ,0.6875            ,0.616             ,0.8199608610567515 ,0.6875            ,0.791095890410959 ,0.16108269570055928,77            ,35             ,61             ,231
