feature                        ,elsa_description
alcohol_cala10                 ,Nos ultimos 12m 5ou+ doses em 2h  (Q10)
alcohol_cala11                 ,Consumo de alcool com refeicoes (Q11)
alcohol_cala2                  ,Atualmente consome bebida alcoolica (Q2)
alcohol_cala3                  ,Quanto tempo parou consumir alcool (Q3)
alcohol_cala4                  ,Parou consumo alcool p motivo saude (Q4)
alcohol_cala5                  ,Parou alcool p conselho medico (Q5)
alcohol_cala6a                 ,Tacas de vinho tinto por semana (Q6)
alcohol_cala6b                 ,Menos de 1 taca de vinho tinto (Q6)
alcohol_cala6c                 ,Nao toma vinho tinto ou so raramente (Q6)
alcohol_cala7a                 ,Tacas de vinho branco por semana (Q7)
alcohol_cala7b                 ,Menos de 1 taca de vinho branco (Q6)
alcohol_cala7c                 ,Nao toma vinho branco ou raramente (Q6)
alcohol_cala8a                 ,Copos peq cerveja por semana (Q8)
alcohol_cala8b                 ,Tulipa/lata/longneck cerveja semana (Q8)
alcohol_cala8c                 ,Garrafa 620ml cerveja por semana (Q8)
alcohol_cala8d                 ,Menos de 1 lata/copo cerveja semana (Q8)
alcohol_cala8e                 ,Nao toma cerveja ou raramente (Q8)
alcohol_cala9a                 ,Doses destilados por semana (Q9)
alcohol_cala9b                 ,Menos de 1 dose destilado p semana (Q9)
alcohol_cala9c                 ,Nao toma destilado ou raramente (Q9)
anamnesis_hmpa03a              ,SAH age diagnsosis (Q3)
anamnesis_hmpa05a              ,DM age diagnosis (Q5)
anamnesis_hmpa06               ,insuline user (Q6)
anamnesis_hmpa07               ,insuline was first treatment (Q7)
anamnesis_hmpa09a              ,Colestherol diagnosis (Q9)
anamnesis_hmpa11a              ,MI age (Q11)
anamnesis_hmpa13a              ,Angina pectoris age (Q13)
anamnesis_hmpa15a              ,CHF age (Q15)
anamnesis_hmpa17a              ,reumatic fever age (Q17)
anamnesis_hmpa19a              ,chagas age (Q19)
anamnesis_hmpa21a              ,stroke age (Q21)
anamnesis_hmpa23a              ,kidney disease age (Q23)
anamnesis_hmpa25a              ,trombosis age (Q25)
anamnesis_hmpa27a              ,Asthma age(Q27)
anamnesis_hmpa29a              ,CPOD age(Q29)
anamnesis_hmpa31a              ,Reumatoid Arthritis (Q31)
anamnesis_hmpa31b              ,lupus (Q31)
anamnesis_hmpa31c              ,Reumatism (Q31)
anamnesis_hmpa31d              ,Artrosis (Q31)
anamnesis_hmpa31e              ,Artrite (Q31)
anamnesis_hmpa31g              ,other joint issues (Q31)
anamnesis_hmpa32a              ,age of diagnosis (Q32)
anamnesis_hmpa34a              ,age Cirrosis or hepatitis (Q34)
anamnesis_hmpa36a              ,age cancer (Q36)
anamnesis_hmpa40               ,fatigue in mild-moderate activities (Q40)
anamnesis_hmpa41               ,fatigue at rest or when eating (Q41)
anamnesis_hmpa43               ,chest pain or discomfort walking (Q43)
anamnesis_hmpa44               ,chest pain or discomfort walking fast  (Q44)
anamnesis_hmpa46a              ,age heart surgery (Q46)
basiclab_LABA14_CARGA          ,2h Glucose Alimentary load (mg/dL)
basiclab_LABA14_TTG            ,Glucose 2h glucose load (mg/dL)
basiclab_LABA21                ,free T4 (ng/dL)
basiclab_LABA23                ,Insulina after 2h load (mcUI/mL)
basiclab_LABA26I               ,RDW (%)
basiclab_LABA26R_N             ,Neutrophils bast (mm3)
basiclab_LABA26R_P             ,Neutrophils bast  (%)
basiclab_LABA28                ,Triglycerides 2h after load (mg/dL)
carotid_imta_lccfavg           ,Left common carotid far-wall IMT average
carotid_imta_lccfmax           ,Left common carotid far-wall IMT maximun
carotid_imta_lccfmin           ,Left common carotid far-wall IMT minimum
carotid_imta_lcclumen          ,Left common carotid lumen diameter
carotid_imta_lccvessel         ,Left common  carotid vessel diameter
carotid_imta_rccfavg           ,Right common carotid far-wall IMT average
carotid_imta_rccfmax           ,Right common carotid far-wall IMT maximun
carotid_imta_rccfmin           ,Right common carotid far-wall IMT minimum
carotid_imta_rcclumen          ,Rigth  common carotid lumen diameter
carotid_imta_rccvessel         ,Right common  carotid vessel diameter
cognition_fcoa11sc2            ,Escore2 memoria tardia parte2 (palavras)
cognition_fcoa12sc             ,Escore memoria tardia parte1 (figuras)
cognition_fcoa13sc1            ,Escore1 memoria tardia parte2 (figuras)
cognition_fcoa13sc2            ,Escore2 memoria tardia parte2 (figuras)
cognition_fcoa1b               ,Teste figuras
cognition_fcoa5sc              ,Escore 1a tentativa teste figuras
cognition_fcoa6sc              ,Escore 2a tentativa teste figuras
cognition_fcoa7sc              ,Escore 3a tentativa teste figuras
derived_A_ANOSDM               ,diabetes duration
derived_A_RCPTAMUNIFORME       ,outfit size
derived_carotid_a_imta_avgavg  ,IMTA_LCCFAVG and IMTA_RCCFAVG average
derived_carotid_a_imta_maxavg  ,IMTA_LCCFMAX and IMTA_RCCFMAX average
derived_carotid_a_imta_maxmax  ,IMTA_LCCFMAX and IMTA_RCCFMAX maximun
derived_cogA_TRILHA_300SEGUNDOS,Total de segundos para execucao do teste de trilhas padronizado
derived_cogA_TRILHA_SEGUNDOS   ,Total de segundos para execucao do teste de trilhas
dietary_info_diea100q          ,Qtde Pudim/Mousse (Col sopa cheia)
dietary_info_diea100s          ,Cons Sazonal Pudim/Mousse
dietary_info_diea101q          ,Qtde Chimia/geleia (Col sopa cheia)
dietary_info_diea101s          ,Cons Sazonal Chimia/geleia
dietary_info_diea102q          ,Qtde Mel/melado (Col sopa cheia)
dietary_info_diea102s          ,Cons Sazonal Mel/melado
dietary_info_diea103q          ,Qtde Barra cereais (Un)
dietary_info_diea103s          ,Cons Sazonal barra cereais
dietary_info_diea104q          ,Qtde Refrigerante (Copo requeijao)
dietary_info_diea104s          ,Cons Sazonal Refrigerante
dietary_info_diea104t          ,Tipo Refrigerante
dietary_info_diea105s          ,Cons Sazonal cafe
dietary_info_diea106q          ,Qtde Suco natural (Copo requeijao)
dietary_info_diea106s          ,Cons Sazonal suco natural
dietary_info_diea106t          ,Tipo Suco natural
dietary_info_diea107q          ,Qtde Suco industrial (Copo requeijao)
dietary_info_diea107s          ,Cons Sazonal Suco industrializado
dietary_info_diea107t          ,Tipo Suco industrializado
dietary_info_diea108q          ,Qtde Suco artificial (Copo requeijao)
dietary_info_diea108s          ,Cons Sazonal Suco artificial
dietary_info_diea108t          ,Tipo Suco artificial
dietary_info_diea109q          ,Qtde Cha/mate (Xicara de cha)
dietary_info_diea109s          ,Cons Sazonal cha/mate
